Category,Location,Cost,Rate,Area,Facing,Status,Floor,Furnishing,Ownership,Bathroom,Owner_name
2 BHK Apartment / Flat for Sale,"Connaught Place, New Delhi",4Cr,"@27,586/Sq",1450,North-East,Ready to Move,4th of 10 Floor,Unfurnished,Leasehold,3,Raghwendra (Agent)
2 BHK Independent Floor for Sale,"Tagore Garden, New Delhi",50Lac,"@6,250/Sq",800,South,Ready to Move,2nd of 4 Floor,Unfurnished,Power of Attorney,1,Vikram Sharma (Agent)
2 BHK Builder Floor for Sale,"Bhagwati Garden, New Delhi",27Lac,"@6,000/Sq",450,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Rama Park, New Delhi",27Lac,"@6,000/Sq",450,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Bhagwati Garden, New Delhi",30Lac,"@5,128/Sq",585,North,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
3 BHK Builder Floor for Sale,"Sunder Vihar, New Delhi",2.5Cr,"@125,000/Sq",200,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,3,Vibhor kumar (Agent)
2 BHK Builder Floor for Sale,"Uttam Nagar West, New Delhi",30Lac,"@5,556/Sq",540,North,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Nawada, New Delhi",32Lac,"@5,926/Sq",540,North-East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Rama Park, New Delhi",31Lac,"@5,741/Sq",540,North-East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Dwarka Mor, New Delhi",25Lac,"@5,241/Sq",477,North-East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",85Lac,"@11,333/Sq",750,East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Vibhor kumar (Agent)
2 BHK Builder Floor for Sale,"Dwarka Mor, New Delhi",31Lac,"@5,741/Sq",540,North-East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Builder Floor for Sale,"Dwarka Mor, New Delhi",31Lac,"@5,741/Sq",540,North-East,Ready to Move,3rd of 4 Floor,Semi Furnished,Freehold,2,Shjmdbuilders (Builder)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.55Cr,"@15,500/Sq",1000,East,Ready to Move,2nd of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
4 BHK Builder Floor for Sale,"Vasant Vihar, New Delhi",17.46Cr,"@41,572/Sq",4200,North,Under Construction,Ground of 4 Floor,Unfurnished,Freehold,5,Tarun Mahajan (Agent)
3 BHK Builder Floor for Sale,"Janakpuri Block A3, New Delhi",2.5Cr,"@151,515/Sq",165,East,Under Construction,3rd of 4 Floor,Semi Furnished,Freehold,3,Tarun Mahajan (Agent)
4 BHK Builder Floor for Sale,"Guru Harikishan Nagar, New Delhi",3.3Cr,"@13,200/Sq",2500,West,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,3,Tarun Mahajan (Agent)
3 BHK Builder Floor for Sale,"Paschim Vihar Block B2, New Delhi",1.7Cr,"@15,455/Sq",1100,South-East,Under Construction,2nd of 4 Floor,Unfurnished,Freehold,3,Tarun Mahajan (Agent)
4 BHK Builder Floor for Sale,"Sunder Vihar, New Delhi",3.25Cr,"@126,953/Sq",256,West,Ready to Move,Ground of 4 Floor,Unfurnished,Freehold,4,Tarun Mahajan (Agent)
4 BHK Builder Floor for Sale,"Punjabi Bagh West, New Delhi",4.55Cr,"@20,682/Sq",2200,West,Under Construction,3rd of 4 Floor,Unfurnished,Freehold,4,Tarun Mahajan (Agent)
3 BHK Builder Floor for Sale,"Punjabi Bagh, New Delhi",30.5Lac,"@1,694/Sq",1800,East,Under Construction,3rd of 4 Floor,Semi Furnished,Freehold,3,Tarun Mahajan (Agent)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 7, New Delhi",1.75Cr,"@9,284/Sq",1885,North-East,Ready to Move,2nd of 8 Floor,Semi Furnished,Freehold,2,pramod gupta (Agent)
3 BHK Builder Floor for Sale,"Model Town, New Delhi",On,Request,170,North,Under Construction,Ground of 4 Floor,Semi Furnished,Freehold,3,Srijan Dwivedi (Agent)
2 BHK Builder Floor for Sale,"Mohan Garden, New Delhi",30Lac,"@5,556/Sq",540,North,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Mega Estate (Agent)
3 BHK Apartment / Flat for Sale,"Karol Bagh, New Delhi",2.75Cr,"@14,474/Sq",1900,North,Under Construction,1st of 11 Floor,Semi Furnished,Freehold,3,Mega Estate (Agent)
3 BHK Apartment / Flat for Sale,"Karol Bagh, New Delhi",2.55Cr,"@14,366/Sq",1775,North,Under Construction,5th of 11 Floor,Semi Furnished,Freehold,3,Mega Estate (Agent)
3 BHK Builder Floor for Sale,"Uttam Nagar, New Delhi",42Lac,"@5,250/Sq",800,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Aakash Baluja (Agent)
2 BHK Builder Floor for Sale,"Uttam Nagar, New Delhi",26Lac,"@4,333/Sq",600,North,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2,Aakash Baluja (Agent)
4 BHK Villa / House for Sale,"Nizamuddin East, New Delhi",On,Request,200,East,Ready to Move,Ground of 2 Floor,Unfurnished,Freehold,4,Amrit (Agent)
4 BHK Villa / House for Sale,"Yamuna Vihar, New Delhi",1.6Cr,"@200,000/Sq",80,North-East,Ready to Move,Ground of 1 Floor,Semi Furnished,Freehold,3,Abhishek Jha (Owner)
2 BHK Builder Floor for Sale,"Bhagwati Garden Extension, New Delhi",18Lac,"@35,294/Sq",51,East,Ready to Move,2nd of 4 Floor,Unfurnished,Power of Attorney,1,Abhishek Jha (Owner)
2 BHK Apartment / Flat for Sale,"Dwarka Mor, New Delhi",85Lac,"@136,568/Sq",62.24,East,Ready to Move,Ground of 1 Floor,Fully Furnished,Freehold,2,Abhishek Jha (Owner)
3 BHK Apartment / Flat for Sale,"Dwarka Sector 10, New Delhi",1.25Cr,"@8,532/Sq",1465,North-East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,3,mandeep luthra (Agent)
2 BHK Builder Floor for Sale,"Tughlakabad Extension, New Delhi",3Lac,"@5,000/Sq",60,North,Ready to Move,3rd of 4 Floor,Semi Furnished,Freehold,2,Abhishek Jha (Owner)
2 BHK Builder Floor for Sale,"Uttam Nagar East, New Delhi",18Lac,"@3,396/Sq",530,North,Under Construction,1st of 4 Floor,Semi Furnished,Freehold,1,Tarun Mahajan (Agent)
4 BHK Builder Floor for Sale,"Janakpuri Block A1, New Delhi",4.75Cr,"@146,154/Sq",325,West,Under Construction,Ground of 4 Floor,Semi Furnished,Freehold,2,Tarun Mahajan (Agent)
2 BHK Builder Floor for Sale,"Uttam Nagar West, New Delhi",32Lac,"@4,923/Sq",650,North-East,Ready to Move,3rd of 4 Floor,Semi Furnished,Freehold,2,Tarun Mahajan (Agent)
2 BHK Builder Floor for Sale,"Uttam Nagar West, New Delhi",22Lac,"@3,667/Sq",600,North,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,1,Tarun Mahajan (Agent)
3 BHK Apartment / Flat for Sale,"Commonwealth Games Village 2010, New Delhi",3.55Cr,"@19,189/Sq",1850,North-East,Ready to Move,4th of 6 Floor,Semi Furnished,Freehold,3,Tarun Mahajan (Agent)
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.45Cr,"@12,083/Sq",1200,North,Ready to Move,Ground of 4 Floor,Unfurnished,Freehold,2,Harpreet singh (Agent)
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",95Lac,"@7,917/Sq",1200,East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,2,Harpreet singh (Agent)
3 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@9,600/Sq",1250,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3,Harpreet singh (Agent)
4 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@9,600/Sq",1250,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3,Tarun Mahajan (Agent)
3 BHK Builder Floor for Sale,"Bhera Enclave, New Delhi",3Cr,"@18,750/Sq",1600,East,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,3,Harpreet singh (Agent)
